,1-Mar-07,1-Jun-07,1-Sep-07,1-Dec-07,1-Mar-08,1-Jun-08,1-Sep-08,1-Dec-08,1-Mar-09,1-Jun-09,1-Sep-09,1-Dec-09,1-Mar-10
11-May-06,0.003938951,0.003938951,0.003938951,0.003938951,0.009708814,0.009708814,0.009708814,0.009708814,0,0,0,0,0
10-May-06,0.005937672,0.005937672,0.005937672,0.005937672,0.007343974,0.007343974,0.007343974,0.007343974,0,0,0,0,0
9-May-06,0.020050797,0.020050797,0.020050797,0.020050797,0.017348638,0.017348638,0.017348638,0.017348638,0,0,0,0,0
8-May-06,-0.004192927,-0.004192927,-0.004192927,-0.004192927,-0.005946639,-0.005946639,-0.005946639,-0.005946639,0,0,0,0,0
4-May-06,-0.015873349,-0.015873349,-0.015873349,-0.015873349,-0.009288749,-0.009288749,-0.009288749,-0.009288749,0,0,0,0,0
3-May-06,-0.010768582,-0.010768582,-0.010768582,-0.010768582,-0.004854378,-0.004854378,-0.004854378,-0.004854378,0,0,0,0,0
2-May-06,0.0166916,0.0166916,0.0166916,0.0166916,0.016601944,0.016601944,0.016601944,0.016601944,0,0,0,0,0
28-Apr-06,-0.004938282,-0.004938282,-0.004938282,-0.004938282,0.011389081,0.011389081,0.011389081,0.011389081,0,0,0,0,0
26-Apr-06,0.014888612,0.014888612,0.014888612,0.014888612,-0.00099552,-0.00099552,-0.00099552,-0.00099552,0,0,0,0,0
21-Apr-06,-0.004987542,-0.004987542,-0.004987542,-0.004987542,-0.004962789,-0.004962789,-0.004962789,-0.004962789,0,0,0,0,0
20-Apr-06,-0.001491425,-0.001491425,-0.001491425,-0.001491425,-0.003952574,-0.003952574,-0.003952574,-0.003952574,0,0,0,0,0
18-Apr-06,0.019057748,0.019057748,0.019057748,0.019057748,0.023953241,0.023953241,0.023953241,0.023953241,0,0,0,0,0
13-Apr-06,0.002534856,0.002534856,0.002534856,0.002534856,0.005063302,0.005063302,0.005063302,0.005063302,0,0,0,0,0
12-Apr-06,0.01534557,0.01534557,0.01534557,0.01534557,0.011230338,0.011230338,0.011230338,0.011230338,0,0,0,0,0
11-Apr-06,0.00516797,0.00516797,0.00516797,0.00516797,0.005146692,0.005146692,0.005146692,0.005146692,0,0,0,0,0
10-Apr-06,-0.001378837,-0.001378837,-0.001378837,-0.001378837,-0.00034382,-0.00034382,-0.00034382,-0.00034382,0,0,0,0,0
7-Apr-06,0,0,0,0,0.00103146,0.00103146,0.00103146,0.00103146,0,0,0,0,0
6-Apr-06,-0.003605464,-0.003605464,-0.003605464,-0.006172859,-0.006172859,-0.006172859,-0.006172859,-0.01128796,0,0,0,0,0
3-Apr-06,0,0,0,0.000855799,0,0,0,0.001705034,0,0,0,0,0
31-Mar-06,0.007741974,0.007741974,0.007741974,0.007741974,0.0051414,0.0051414,0.0051414,0.0051414,0.006654747,0.006654747,0.006654747,0.006654747,0.006654747
29-Mar-06,0,0,0,0,0.00516797,0.00516797,0.00516797,0.00516797,0.003601753,0.003601753,0.003601753,0.003601753,0.003601753
28-Mar-06,-0.002587324,-0.002587324,-0.002587324,-0.002587324,-0.002587324,-0.002587324,-0.002587324,-0.002587324,0,0,0,0,0
27-Mar-06,-0.000860216,-0.000860216,-0.000860216,-0.000860216,-0.000860216,-0.000860216,-0.000860216,-0.000860216,0,0,0,0,0
23-Mar-06,-0.0051414,-0.0051414,-0.0051414,-0.0051414,-0.0051414,-0.0051414,-0.0051414,-0.0051414,-0.0051414,-0.0051414,-0.0051414,-0.0051414,-0.0051414
22-Mar-06,0.007205384,0.007205384,0.007205384,0.007205384,0.0051414,0.0051414,0.0051414,0.0051414,0.0051414,0.0051414,0.0051414,0.0051414,0.0051414
21-Mar-06,-0.014868256,-0.014868256,-0.014868256,-0.014868256,-0.012804272,-0.012804272,-0.012804272,-0.012804272,-0.01534557,-0.01534557,-0.01534557,-0.01534557,-0.01534557
20-Mar-06,-0.002534866,-0.002534866,-0.002534866,-0.002534866,0.000849257,0.000849257,0.000849257,0.000849257,0.001696357,0.001696357,0.001696357,0.001696357,0.001696357
17-Mar-06,-0.010050336,-0.010050336,-0.010050336,-0.010050336,-0.020202707,-0.020202707,-0.020202707,-0.020202707,-0.020202707,-0.020202707,-0.020202707,-0.020202707,-0.020202707
15-Mar-06,0.034401427,0.034401427,0.034401427,0.034401427,0.029558802,0.029558802,0.029558802,0.029558802,0.029558802,0.029558802,0.029558802,0.029558802,0.029558802
